edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,34,300186452,group,43938,Croatia,Mexico,3,17,https://data.huffingtonpost.com/2014/world-cup/matches/croatia-vs-mexico-731800,data/raw/2014/huffpost/matches/731800.html
2014,35,300186467,group,43969,Spain,Australia,3,9,https://data.huffingtonpost.com/2014/world-cup/matches/australia-vs-spain-731801,data/raw/2014/huffpost/matches/731801.html
2014,35,300186467,group,43976,Australia,Spain,3,14,https://data.huffingtonpost.com/2014/world-cup/matches/australia-vs-spain-731801,data/raw/2014/huffpost/matches/731801.html
2014,36,300186470,group,43925,Chile,Netherlands,3,14,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-chile-731802,data/raw/2014/huffpost/matches/731802.html
2014,36,300186470,group,43960,Netherlands,Chile,3,26,https://data.huffingtonpost.com/2014/world-cup/matches/netherlands-vs-chile-731802,data/raw/2014/huffpost/matches/731802.html
2014,37,300186457,group,43819,Japan,Colombia,3,10,https://data.huffingtonpost.com/2014/world-cup/matches/japan-vs-colombia-731803,data/raw/2014/huffpost/matches/731803.html
2014,37,300186457,group,43926,Colombia,Japan,3,18,https://data.huffingtonpost.com/2014/world-cup/matches/japan-vs-colombia-731803,data/raw/2014/huffpost/matches/731803.html
2014,38,300186455,group,43854,Côte d'Ivoire,Greece,3,23,https://data.huffingtonpost.com/2014/world-cup/matches/greece-vs-ivory-coast-731804,data/raw/2014/huffpost/matches/731804.html
2014,38,300186455,group,43949,Greece,Côte d'Ivoire,3,12,https://data.huffingtonpost.com/2014/world-cup/matches/greece-vs-ivory-coast-731804,data/raw/2014/huffpost/matches/731804.html
2014,39,300186465,group,43930,Uruguay,Italy,3,19,https://data.huffingtonpost.com/2014/world-cup/matches/italy-vs-uruguay-731805,data/raw/2014/huffpost/matches/731805.html
2014,39,300186465,group,43954,Italy,Uruguay,3,19,https://data.huffingtonpost.com/2014/world-cup/matches/italy-vs-uruguay-731805,data/raw/2014/huffpost/matches/731805.html
2014,40,300186484,group,43901,Costa Rica,England,3,18,https://data.huffingtonpost.com/2014/world-cup/matches/costa-rica-vs-england-731806,data/raw/2014/huffpost/matches/731806.html
2014,40,300186484,group,43942,England,Costa Rica,3,16,https://data.huffingtonpost.com/2014/world-cup/matches/costa-rica-vs-england-731806,data/raw/2014/huffpost/matches/731806.html
2014,41,300186482,group,43909,Honduras,Switzerland,3,17,https://data.huffingtonpost.com/2014/world-cup/matches/honduras-vs-switzerland-731807,data/raw/2014/huffpost/matches/731807.html
2014,41,300186482,group,43971,Switzerland,Honduras,3,17,https://data.huffingtonpost.com/2014/world-cup/matches/honduras-vs-switzerland-731807,data/raw/2014/huffpost/matches/731807.html
2014,42,300186515,group,43927,Ecuador,France,3,17,https://data.huffingtonpost.com/2014/world-cup/matches/ecuador-vs-france-731808,data/raw/2014/huffpost/matches/731808.html
2014,42,300186515,group,43946,France,Ecuador,3,6,https://data.huffingtonpost.com/2014/world-cup/matches/ecuador-vs-france-731808,data/raw/2014/huffpost/matches/731808.html
2014,43,300186458,group,43876,Nigeria,Argentina,3,16,https://data.huffingtonpost.com/2014/world-cup/matches/nigeria-vs-argentina-731809,data/raw/2014/huffpost/matches/731809.html
2014,43,300186458,group,43922,Argentina,Nigeria,3,5,https://data.huffingtonpost.com/2014/world-cup/matches/nigeria-vs-argentina-731809,data/raw/2014/huffpost/matches/731809.html
2014,44,300186464,group,43817,Iran,Bosnia-Herzegovina,3,17,https://data.huffingtonpost.com/2014/world-cup/matches/bosnia-herz-vs-iran-731810,data/raw/2014/huffpost/matches/731810.html
2014,44,300186464,group,44037,Bosnia-Herzegovina,Iran,3,20,https://data.huffingtonpost.com/2014/world-cup/matches/bosnia-herz-vs-iran-731810,data/raw/2014/huffpost/matches/731810.html
