edition,edition_status,ledger,team_id,team,player_id,player,rho,mu,lambda,omega,group_caution_min,group_dismissal_min,group_served_matches,group_served_min,knockout_in_match_min,knockout_accumulation_window_min,knockout_served_matches,knockout_served_min,exp_susp_grp_unweighted_min,exp_susp_unweighted_min,exp_susp_all_unweighted_min,exact_clock_q_min,exp_susp_prime_unweighted_min,exp_susp_grp_min,exp_susp_min,exp_susp_all_min,exp_susp_prime_min
2014,final,full,43927,Ecuador,349576,Juan PAREDES,2,1.25,0.5,1,218,0,0,0,0,0,0,0,218,0,218,41.87,238.935,218,0,218,238.935
2014,final,full,43927,Ecuador,349578,Frickson ERAZO,2,1.25,0.5,1,8,0,0,0,0,0,0,0,8,0,8,12.28,14.14,8,0,8,14.14
2014,final,full,43927,Ecuador,373400,Enner VALENCIA,2,1.25,0.5,1,108,0,0,0,0,0,0,0,108,0,108,22.4,119.2,108,0,108,119.2
2014,final,full,43930,Uruguay,229498,Fernando MUSLERA,2,1.25,0.5,1,0,0,0,0,0,180,0,0,0,180,180,99.1,229.55,0,180,180,229.55
2014,final,full,43930,Uruguay,229499,Diego GODIN,2,1.25,0.5,1,172,0,0,0,0,180,0,0,172,180,352,180.23,442.115,172,180,352,442.115
2014,final,full,43930,Uruguay,239433,Diego LUGANO,2,1.25,0.5,1,221,0,0,0,14,166,0,0,221,180,401,139.28,470.64,221,180,401,470.64
2014,final,full,43930,Uruguay,267829,Martin CACERES,2,1.25,0.5,1,190,0,0,0,0,180,0,0,190,180,370,108.28,424.14,190,180,370,424.14
2014,final,full,43930,Uruguay,276131,Walter GARGANO,2,1.25,0.5,0.163888889,214,0,0,0,0,180,0,0,214,180,394,132.28,460.14,35.072222,29.5,64.572222,75.411833
2014,final,full,43930,Uruguay,286238,Egidio AREVALO,2,1.25,0.5,1,45,0,0,0,0,180,0,0,45,180,225,144.1,297.05,45,180,225,297.05
2014,final,full,43930,Uruguay,286481,Maximiliano PEREIRA,2,1.25,0.5,0.833333333,0,4.26,1,112.5,0,0,0,0,116.76,0,116.76,0,116.76,97.3,0,97.3,97.3
2014,final,full,43930,Uruguay,368655,Jose GIMENEZ,2,1.25,0.5,0.75,0,0,0,0,36,90,0,0,0,126,126,39.15,145.575,0,94.5,94.5,109.18125
