edition,team_id,team,player_id,player,played_minutes,team_nominal_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,omega
2018,43822,Korea Republic,307849,SON Heungmin,270,270,0,0,0,270,1
2018,43822,Korea Republic,314722,MOON Seonmin,146,270,0,0,0,270,0.540740741
2018,43822,Korea Republic,321745,KIM Shinwook,66,270,0,0,0,270,0.244444444
2018,43822,Korea Republic,356534,JUNG Wooyoung,127,270,0,0,0,270,0.47037037
2018,43822,Korea Republic,363578,LEE Yong,270,270,0,0,0,270,1
2018,43822,Korea Republic,375754,KIM Younggwon,270,270,0,0,0,270,1
2018,43822,Korea Republic,390081,LEE Seungwoo,44,270,0,0,0,270,0.162962963
2018,43822,Korea Republic,390525,LEE Jaesung,270,270,0,0,0,270,1
2018,43822,Korea Republic,395083,HWANG Heechan,203,270,0,0,0,270,0.751851852
2018,43835,Saudi Arabia,218083,TAISEER ALJASSAM,134,270,0,136,136,134,1
2018,43855,Egypt,303682,AHMED FATHI,270,270,0,0,0,270,1
2018,43855,Egypt,344640,AHMED HEGAZY,270,270,0,0,0,270,1
2018,43855,Egypt,363863,TREZEGUET,239,270,0,0,0,270,0.885185185
2018,43855,Egypt,401838,ALI GABR,270,270,0,0,0,270,1
2018,43855,Egypt,407023,SAM MORSY,40,270,0,0,0,270,0.148148148
2018,43872,Morocco,232674,Karim EL AHMADI,266,270,0,0,0,270,0.985185185
2018,43872,Morocco,291414,Noureddine AMRABAT,256,270,0,0,0,270,0.948148148
2018,43872,Morocco,296799,Mbark BOUSSOUFA,270,270,0,0,0,270,1
2018,43872,Morocco,299073,Manuel DA COSTA,188,270,0,0,0,270,0.696296296
2018,43872,Morocco,305954,Mehdi BENATIA,180,270,0,0,0,270,0.666666667
2018,43872,Morocco,395755,Monir EL KAJOUI,270,270,0,0,0,270,1
2018,43872,Morocco,400721,Achraf HAKIMI,270,270,0,0,0,270,1
2018,43876,Nigeria,234463,John Obi MIKEL,268,270,0,0,0,270,0.992592593
2018,43876,Nigeria,395529,William EKONG,270,270,0,0,0,270,1
2018,43876,Nigeria,402251,Leon BALOGUN,270,270,0,0,0,270,1
2018,43876,Nigeria,411700,Bryan IDOWU,226,270,0,0,0,270,0.837037037
2018,43879,Senegal,332314,Idrissa Gana GUEYE,270,270,0,0,0,270,1
2018,43879,Senegal,336000,Mbaye NIANG,247,270,0,0,0,270,0.914814815
2018,43879,Senegal,368848,Youssouf SABALY,254,270,0,0,0,270,0.940740741
2018,43879,Senegal,370169,Salif SANE,270,270,0,0,0,270,1
2018,43879,Senegal,395925,Cheikh NDOYE,37,270,0,0,0,270,0.137037037
2018,43888,Tunisia,370575,Ferjani SASSI,195,270,0,0,0,270,0.722222222
2018,43888,Tunisia,407141,Ghaylen CHAALELI,90,270,0,0,0,270,0.333333333
2018,43888,Tunisia,407145,Anice BADRI,224,270,0,0,0,270,0.82962963
