edition,edition_status,match_number,stage,team_id,team,segment,foul_events,provider,feed_status,source_url
2018,final,9,group,43924,Brazil,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43924,Brazil,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,00_0_15,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,01_15_30,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,04_60_75,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,05_75_full_time,8,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,9,group,43971,Switzerland,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,00_0_15,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,01_15_30,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,02_30_half_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,04_60_75,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,43901,Costa Rica,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,00_0_15,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,01_15_30,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,10,group,1902465,Serbia,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,00_0_15,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,01_15_30,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,03_45_60,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,04_60_75,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43948,Germany,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,00_0_15,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,01_15_30,6,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,02_30_half_time,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,03_45_60,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,04_60_75,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,05_75_full_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,11,group,43911,Mexico,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,12,group,43970,Sweden,00_0_15,7,StatsBomb open data,complete,https://github.com/statsbomb/open-data
