edition,edition_status,match_number,stage,team_id,team,goals_for,goals_against,source_url
2018,final,46,group,43888,Tunisia,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,47,group,43819,Japan,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,47,group,43962,Poland,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,48,group,43879,Senegal,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,48,group,43926,Colombia,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,49,round_of_16,43930,Uruguay,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,49,round_of_16,43963,Portugal,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,50,round_of_16,43946,France,4,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,50,round_of_16,43922,Argentina,3,4,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,51,round_of_16,43969,Spain,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,51,round_of_16,43965,Russia,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,52,round_of_16,43938,Croatia,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,52,round_of_16,43941,Denmark,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,53,round_of_16,43924,Brazil,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,53,round_of_16,43911,Mexico,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,54,round_of_16,43935,Belgium,3,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,54,round_of_16,43819,Japan,2,3,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,55,round_of_16,43970,Sweden,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,55,round_of_16,43971,Switzerland,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,56,round_of_16,43926,Colombia,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,56,round_of_16,43942,England,1,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,57,quarter_final,43930,Uruguay,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,57,quarter_final,43946,France,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,58,quarter_final,43924,Brazil,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,58,quarter_final,43935,Belgium,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,59,quarter_final,43965,Russia,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,59,quarter_final,43938,Croatia,2,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,60,quarter_final,43970,Sweden,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,60,quarter_final,43942,England,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,61,semi_final,43946,France,1,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,61,semi_final,43935,Belgium,0,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,62,semi_final,43938,Croatia,2,1,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,62,semi_final,43942,England,1,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,63,third_place,43935,Belgium,2,0,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,63,third_place,43942,England,0,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,64,final,43946,France,4,2,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2018,final,64,final,43938,Croatia,2,4,https://www.fifa.com/tournaments/mens/worldcup/2018russia
2022,final,1,group,43834,Qatar,0,2,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,1,group,43927,Ecuador,2,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,2,group,43879,Senegal,0,2,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,2,group,43960,Netherlands,2,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,3,group,43942,England,6,2,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,3,group,43817,Iran,2,6,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,4,group,43921,United States,1,1,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,4,group,43974,Wales,1,1,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,5,group,43946,France,4,1,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,5,group,43976,Australia,1,4,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,6,group,43941,Denmark,0,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,6,group,43888,Tunisia,0,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,7,group,43911,Mexico,0,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,7,group,43962,Poland,0,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,8,group,43922,Argentina,1,2,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,8,group,43835,Saudi Arabia,2,1,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
2022,final,9,group,43935,Belgium,1,0,https://www.fifa.com/tournaments/mens/worldcup/qatar2022
