edition,match_number,match_id,date_utc,stage,group_name,home_team_id,home_team,away_team_id,away_team,winner_team_id,winner_team,nominal_minutes,t_end_min,t_end_source,source_url,source_archive
2018,16,300331550,2018-06-19T12:00:00Z,group,Group H,43926,Colombia,43819,Japan,43819,Japan,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331550?language=en,data/raw/2018/fifa/timelines/m016_300331550.json
2018,17,300331495,2018-06-19T18:00:00Z,group,Group A,43965,Russia,43855,Egypt,43965,Russia,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331495?language=en,data/raw/2018/fifa/timelines/m017_300331495.json
2018,18,300331530,2018-06-20T15:00:00Z,group,Group A,43930,Uruguay,43835,Saudi Arabia,43930,Uruguay,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331530?language=en,data/raw/2018/fifa/timelines/m018_300331530.json
2018,19,300331511,2018-06-20T12:00:00Z,group,Group B,43963,Portugal,43872,Morocco,43963,Portugal,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331511?language=en,data/raw/2018/fifa/timelines/m019_300331511.json
2018,20,300331496,2018-06-20T18:00:00Z,group,Group B,43817,Iran,43969,Spain,43969,Spain,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331496?language=en,data/raw/2018/fifa/timelines/m020_300331496.json
2018,21,300331527,2018-06-21T15:00:00Z,group,Group C,43946,France,43929,Peru,43946,France,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331527?language=en,data/raw/2018/fifa/timelines/m021_300331527.json
2018,22,300331518,2018-06-21T12:00:00Z,group,Group C,43941,Denmark,43976,Australia,,,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331518?language=en,data/raw/2018/fifa/timelines/m022_300331518.json
2018,23,300331513,2018-06-21T18:00:00Z,group,Group D,43922,Argentina,43938,Croatia,43938,Croatia,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331513?language=en,data/raw/2018/fifa/timelines/m023_300331513.json
2018,24,300331497,2018-06-22T15:00:00Z,group,Group D,43876,Nigeria,43951,Iceland,43876,Nigeria,90,97,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331497?language=en,data/raw/2018/fifa/timelines/m024_300331497.json
2018,25,300331540,2018-06-22T12:00:00Z,group,Group E,43924,Brazil,43901,Costa Rica,43924,Brazil,90,99,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331540?language=en,data/raw/2018/fifa/timelines/m025_300331540.json
2018,26,300340183,2018-06-22T18:00:00Z,group,Group E,1902465,Serbia,43971,Switzerland,43971,Switzerland,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300340183?language=en,data/raw/2018/fifa/timelines/m026_300340183.json
2018,27,300331501,2018-06-23T18:00:00Z,group,Group F,43948,Germany,43970,Sweden,43948,Germany,90,98,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331501?language=en,data/raw/2018/fifa/timelines/m027_300331501.json
2018,28,300331549,2018-06-23T15:00:00Z,group,Group F,43822,Korea Republic,43911,Mexico,43911,Mexico,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331549?language=en,data/raw/2018/fifa/timelines/m028_300331549.json
2018,29,300331547,2018-06-23T12:00:00Z,group,Group G,43935,Belgium,43888,Tunisia,43935,Belgium,90,94,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331547?language=en,data/raw/2018/fifa/timelines/m029_300331547.json
2018,30,300331546,2018-06-24T12:00:00Z,group,Group G,43942,England,43914,Panama,43942,England,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331546?language=en,data/raw/2018/fifa/timelines/m030_300331546.json
2018,31,300331508,2018-06-24T18:00:00Z,group,Group H,43962,Poland,43926,Colombia,43926,Colombia,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331508?language=en,data/raw/2018/fifa/timelines/m031_300331508.json
2018,32,300331505,2018-06-24T15:00:00Z,group,Group H,43819,Japan,43879,Senegal,,,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331505?language=en,data/raw/2018/fifa/timelines/m032_300331505.json
2018,33,300331516,2018-06-25T14:00:00Z,group,Group A,43930,Uruguay,43965,Russia,43930,Uruguay,90,95,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331516?language=en,data/raw/2018/fifa/timelines/m033_300331516.json
2018,34,300331509,2018-06-25T14:00:00Z,group,Group A,43835,Saudi Arabia,43855,Egypt,43835,Saudi Arabia,90,96,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331509?language=en,data/raw/2018/fifa/timelines/m034_300331509.json
2018,35,300331500,2018-06-25T18:00:00Z,group,Group B,43817,Iran,43963,Portugal,,,90,98,fifa_timeline_period_label,https://api.fifa.com/api/v3/timelines/17/254645/275073/300331500?language=en,data/raw/2018/fifa/timelines/m035_300331500.json
