edition,match_number,match_id,date_utc,stage,venue_side,team_id,team,opponent_team_id,opponent,primary_cohort,in_play_player_cards,fouls,rho,clock_variant,exp_match_min,exp_match_per_foul,opponent_exp_match_min,opponent_exp_match_per_foul,d_exp_match,d_exp_match_per_foul
2014,20,300186478,2014-06-18T16:00:00Z,group,home,43976,Australia,43960,Netherlands,no,1,18,2,end_minus_one,50.12,2.784444,46.12,1.8448,4,0.939644
2014,20,300186478,2014-06-18T16:00:00Z,group,away,43960,Netherlands,43976,Australia,yes,1,25,2,end_minus_one,46.12,1.8448,50.12,2.784444,-4,-0.939644
2014,20,300186478,2014-06-18T16:00:00Z,group,home,43976,Australia,43960,Netherlands,no,1,18,2,source_end,51.12,2.84,47.12,1.8848,4,0.9552
2014,20,300186478,2014-06-18T16:00:00Z,group,away,43960,Netherlands,43976,Australia,yes,1,25,2,source_end,47.12,1.8848,51.12,2.84,-4,-0.9552
2014,21,300186468,2014-06-19T16:00:00Z,group,home,43926,Colombia,43854,Côte d'Ivoire,yes,0,11,2,end_minus_one,0,0,43.6,3.114286,-43.6,-3.114286
2014,21,300186468,2014-06-19T16:00:00Z,group,away,43854,Côte d'Ivoire,43926,Colombia,no,2,14,2,end_minus_one,43.6,3.114286,0,0,43.6,3.114286
2014,21,300186468,2014-06-19T16:00:00Z,group,home,43926,Colombia,43854,Côte d'Ivoire,yes,0,11,2,source_end,0,0,45.6,3.257143,-45.6,-3.257143
2014,21,300186468,2014-06-19T16:00:00Z,group,away,43854,Côte d'Ivoire,43926,Colombia,no,2,14,2,source_end,45.6,3.257143,0,0,45.6,3.257143
2014,22,300186454,2014-06-19T22:00:00Z,group,home,43819,Japan,43949,Greece,no,1,23,2,end_minus_one,82.28,3.577391,224.4,12.466667,-142.12,-8.889275
2014,22,300186454,2014-06-19T22:00:00Z,group,away,43949,Greece,43819,Japan,yes,4,18,2,end_minus_one,224.4,12.466667,82.28,3.577391,142.12,8.889275
2014,22,300186454,2014-06-19T22:00:00Z,group,home,43819,Japan,43949,Greece,no,1,23,2,source_end,83.28,3.62087,229.4,12.744444,-146.12,-9.123575
2014,22,300186454,2014-06-19T22:00:00Z,group,away,43949,Greece,43819,Japan,yes,4,18,2,source_end,229.4,12.744444,83.28,3.62087,146.12,9.123575
2014,23,300186486,2014-06-19T19:00:00Z,group,home,43930,Uruguay,43942,England,yes,1,17,2,end_minus_one,86.08,5.063529,27.08,2.256667,59,2.806863
2014,23,300186486,2014-06-19T19:00:00Z,group,away,43942,England,43930,Uruguay,no,1,12,2,end_minus_one,27.08,2.256667,86.08,5.063529,-59,-2.806863
2014,23,300186486,2014-06-19T19:00:00Z,group,home,43930,Uruguay,43942,England,yes,1,17,2,source_end,87.08,5.122353,28.08,2.34,59,2.782353
2014,23,300186486,2014-06-19T19:00:00Z,group,away,43942,England,43930,Uruguay,no,1,12,2,source_end,28.08,2.34,87.08,5.122353,-59,-2.782353
2014,24,300186500,2014-06-20T16:00:00Z,group,home,43954,Italy,43901,Costa Rica,no,1,10,2,end_minus_one,24.73,2.473,22.73,0.988261,2,1.484739
2014,24,300186500,2014-06-20T16:00:00Z,group,away,43901,Costa Rica,43954,Italy,yes,1,23,2,end_minus_one,22.73,0.988261,24.73,2.473,-2,-1.484739
2014,24,300186500,2014-06-20T16:00:00Z,group,home,43954,Italy,43901,Costa Rica,no,1,10,2,source_end,25.73,2.573,23.73,1.031739,2,1.541261
