edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2018,33,300331516,First stage,2018-06-25T14:00:00Z,Russia,Uruguay,43965,0,GAZINSKII,379988,Y,9',9.0,3,90.0,95.0,timeline_period_label,1,81.0,86.0,2,261.0,,GAZINSKII (Russia) is booked by the referee.
2018,33,300331516,First stage,2018-06-25T14:00:00Z,Russia,Uruguay,43965,0,SMOLNIKOV,375357,Y,28',28.0,3,90.0,95.0,timeline_period_label,1,62.0,67.0,2,242.0,,SMOLNIKOV (Russia) is booked by the referee.
2018,33,300331516,First stage,2018-06-25T14:00:00Z,Russia,Uruguay,43965,0,SMOLNIKOV,375357,Y2,36',36.0,3,90.0,95.0,timeline_period_label,2,54.0,118.0,2,,28.0,SMOLNIKOV (Russia) is booked for the second time and receives a red card!
2018,34,300331509,First stage,2018-06-25T14:00:00Z,Egypt,Saudi Arabia,43855,0,ALI GABR,401838,Y,45'+5',50.0,3,90.0,96.0,timeline_period_label,1,40.0,46.0,2,220.0,,ALI GABR (Egypt) is booked by the referee.
2018,34,300331509,First stage,2018-06-25T14:00:00Z,Egypt,Saudi Arabia,43855,0,A. FATHI,303682,Y,86',86.0,5,90.0,96.0,timeline_period_label,1,4.0,10.0,2,184.0,,A. FATHI (Egypt) is booked by the referee.
2018,35,300331500,First stage,2018-06-25T18:00:00Z,Portugal,Iran,43963,0,RAPHAEL,395213,Y,33',33.0,3,90.0,98.0,timeline_period_label,1,57.0,65.0,2,237.0,,RAPHAEL (Portugal) is booked by the referee.
2018,35,300331500,First stage,2018-06-25T18:00:00Z,Iran,Portugal,43817,0,HAJI SAFI,288961,Y,52',52.0,5,90.0,98.0,timeline_period_label,1,38.0,46.0,2,218.0,,HAJI SAFI (IR Iran) is booked by the referee.
2018,35,300331500,First stage,2018-06-25T18:00:00Z,Iran,Portugal,43817,0,SARDAR,379887,Y,54',54.0,5,90.0,98.0,timeline_period_label,1,36.0,44.0,2,216.0,,SARDAR (IR Iran) is booked by the referee.
2018,35,300331500,First stage,2018-06-25T18:00:00Z,Portugal,Iran,43963,0,QUARESMA,189810,Y,64',64.0,5,90.0,98.0,timeline_period_label,1,26.0,34.0,2,206.0,,QUARESMA (Portugal) is booked by the referee.
2018,35,300331500,First stage,2018-06-25T18:00:00Z,Portugal,Iran,43963,0,RONALDO,201200,Y,83',83.0,5,90.0,98.0,timeline_period_label,1,7.0,15.0,2,187.0,,RONALDO (Portugal) is booked by the referee.
2018,35,300331500,First stage,2018-06-25T18:00:00Z,Portugal,Iran,43963,0,CÉDRIC,336491,Y,90'+8',98.0,5,90.0,98.0,timeline_period_label,1,0.0,0.0,2,180.0,,CÉDRIC (Portugal) is booked by the referee.
2018,36,300340184,First stage,2018-06-25T18:00:00Z,Morocco,Spain,43872,0,EL AHMADI,232674,Y,22',22.0,3,90.0,97.0,timeline_period_label,1,68.0,75.0,2,248.0,,EL AHMADI (Morocco) is booked by the referee.
2018,36,300340184,First stage,2018-06-25T18:00:00Z,Morocco,Spain,43872,0,N. AMRABAT,291414,Y,29',29.0,3,90.0,97.0,timeline_period_label,1,61.0,68.0,2,241.0,,N. AMRABAT (Morocco) is booked by the referee.
2018,36,300340184,First stage,2018-06-25T18:00:00Z,Morocco,Spain,43872,0,DA COSTA,299073,Y,31',31.0,3,90.0,97.0,timeline_period_label,1,59.0,66.0,2,239.0,,DA COSTA (Morocco) is booked by the referee.
2018,36,300340184,First stage,2018-06-25T18:00:00Z,Morocco,Spain,43872,0,BOUSSOUFA,296799,Y,31',31.0,3,90.0,97.0,timeline_period_label,1,59.0,66.0,2,239.0,,BOUSSOUFA (Morocco) is booked by the referee.
